iter	Passed	Remaining
407	3902	5662
408	3924	5670
409	3930	5656
410	3939	5645
411	3946	5632
412	3954	5619
413	3961	5606
414	3969	5595
415	3977	5583
416	3986	5573
417	3993	5560
418	4000	5547
419	4008	5534
420	4016	5523
421	4025	5513
422	4034	5503
423	4043	5492
424	4053	5483
425	4061	5472
426	4071	5462
427	4081	5455
428	4091	5445
429	4101	5436
430	4109	5425
431	4118	5414
432	4125	5402
433	4132	5389
434	4139	5376
435	4146	5364
436	4154	5351
437	4162	5340
438	4169	5328
439	4176	5315
440	4183	5302
441	4190	5290
442	4197	5277
443	4204	5264
444	4211	5252
445	4218	5240
446	4228	5231
447	4239	5223
448	4248	5214
449	4258	5204
450	4267	5194
451	4275	5183
452	4286	5175
453	4296	5166
454	4306	5158
455	4314	5147
456	4323	5136
457	4330	5125
458	4339	5114
459	4348	5104
460	4356	5093
461	4364	5082
462	4373	5072
463	4381	5061
464	4390	5050
465	4398	5040
466	4406	5029
467	4415	5019
468	4424	5009
469	4432	4998
470	4441	4988
471	4451	4979
472	4459	4968
473	4467	4957
474	4481	4953
475	4502	4956
476	4516	4951
477	4534	4951
478	4554	4953
479	4572	4953
480	4595	4958
481	4623	4968
482	4637	4963
483	4653	4961
484	4673	4962
485	4686	4956
486	4699	4950
487	4709	4940
488	4717	4929
489	4725	4918
490	4733	4906
491	4743	4898
492	4752	4886
493	4760	4876
494	4768	4864
495	4786	4864
496	4808	4866
497	4820	4859
498	4832	4852
499	4865	4865
500	4884	4865
501	4904	4865
502	4917	4859
503	4938	4859
504	4959	4860
505	4971	4853
506	4986	4848
507	5000	4843
508	5019	4841
509	5032	4834
510	5046	4829
511	5062	4825
512	5078	4820
513	5090	4813
514	5102	4805
515	5111	4794
516	5120	4783
517	5128	4772
518	5138	4762
519	5147	4751
520	5156	4741
521	5165	4730
522	5174	4719
523	5187	4712
524	5197	4702
525	5206	4691
526	5214	4680
527	5222	4668
528	5230	4657
529	5239	4645
530	5248	4635
531	5256	4624
532	5265	4613
533	5274	4602
534	5284	4592
535	5292	4581
536	5300	4570
537	5310	4560
538	5320	4550
539	5332	4542
540	5340	4531
541	5352	4522
542	5360	4511
543	5368	4500
544	5378	4489
545	5386	4478
546	5394	4467
547	5402	4456
548	5412	4446
549	5420	4434
550	5429	4424
551	5441	4416
552	5454	4408
553	5468	4402
554	5481	4395
555	5495	4388
556	5505	4378
557	5516	4370
558	5527	4360
559	5537	4351
560	5549	4342
561	5559	4332
562	5570	4323
563	5580	4313
564	5591	4305
565	5602	4296
566	5613	4286
567	5624	4277
568	5634	4267
569	5645	4259
570	5654	4248
571	5665	4239
572	5675	4229
573	5687	4221
574	5700	4213
575	5709	4202
576	5722	4195
577	5733	4186
578	5743	4176
579	5756	4168
580	5768	4160
581	5778	4150
582	5791	4142
583	5805	4135
584	5816	4126
585	5826	4116
586	5836	4106
587	5845	4096
588	5856	4086
589	5865	4076
590	5875	4066
591	5884	4055
592	5899	4049
593	5910	4039
594	5921	4030
595	5934	4022
596	5947	4014
597	5959	4006
598	5969	3996
599	5981	3987
600	5994	3980
601	6004	3969
602	6015	3960
603	6025	3950
604	6036	3940
605	6048	3932
606	6057	3921
607	6067	3912
608	6077	3901
609	6089	3893
610	6099	3883
611	6118	3878
612	6131	3870
613	6146	3864
614	6158	3855
615	6167	3844
616	6177	3834
617	6190	3826
618	6203	3818
619	6213	3808
620	6224	3799
621	6234	3788
622	6245	3779
623	6254	3768
624	6267	3760
625	6286	3756
626	6301	3748
627	6313	3739
628	6327	3732
629	6342	3724
630	6355	3716
631	6364	3705
632	6372	3694
633	6389	3688
634	6404	3681
635	6417	3673
636	6426	3662
637	6435	3651
638	6445	3641
639	6451	3629
640	6458	3617
641	6466	3605
642	6473	3593
643	6480	3582
644	6487	3570
645	6497	3560
646	6507	3550
647	6518	3541
648	6527	3530
649	6540	3522
650	6552	3513
651	6564	3503
652	6575	3494
653	6583	3482
654	6591	3471
655	6599	3460
656	6607	3449
657	6615	3438
658	6626	3428
659	6637	3419
660	6649	3410
661	6660	3400
662	6669	3390
663	6679	3379
664	6689	3369
665	6697	3358
666	6706	3348
667	6716	3338
668	6725	3327
669	6733	3316
670	6741	3305
671	6750	3294
672	6758	3283
673	6767	3273
674	6778	3263
675	6785	3252
676	6793	3241
677	6801	3230
678	6810	3219
679	6819	3209
680	6833	3200
681	6842	3190
682	6851	3180
683	6861	3169
684	6873	3160
685	6883	3150
686	6894	3141
687	6907	3132
688	6919	3123
689	6929	3113
690	6940	3103
691	6950	3093
692	6961	3083
693	6971	3073
694	6991	3068
695	7001	3058
696	7010	3047
697	7023	3038
698	7034	3028
699	7044	3019
700	7054	3009
701	7064	2998
702	7073	2988
703	7082	2978
704	7093	2968
705	7103	2957
706	7112	2947
707	7123	2937
708	7132	2927
709	7146	2919
710	7166	2912
711	7184	2906
712	7200	2898
713	7212	2888
714	7228	2881
715	7245	2874
716	7257	2864
717	7268	2854
718	7280	2845
719	7294	2836
720	7307	2827
721	7322	2819
722	7330	2808
723	7338	2797
724	7346	2786
725	7355	2776
726	7363	2765
727	7372	2754
728	7380	2743
729	7391	2733
730	7400	2723
731	7411	2713
732	7420	2702
733	7428	2692
734	7436	2681
735	7446	2671
736	7460	2662
737	7474	2653
738	7485	2643
739	7494	2633
740	7505	2623
741	7518	2614
742	7531	2604
743	7540	2594
744	7549	2584
745	7561	2574
746	7571	2564
747	7581	2554
748	7589	2543
749	7599	2533
750	7610	2523
751	7620	2513
752	7628	2502
753	7638	2492
754	7655	2484
755	7672	2476
756	7684	2466
757	7693	2456
758	7706	2446
759	7718	2437
760	7731	2428
761	7745	2419
762	7754	2408
763	7766	2399
764	7780	2389
765	7795	2381
766	7821	2376
767	7833	2366
768	7846	2357
769	7856	2346
770	7868	2337
771	7879	2327
772	7889	2316
773	7898	2306
774	7907	2295
775	7917	2285
776	7929	2275
777	7938	2265
778	7950	2255
779	7962	2245
780	7973	2235
781	7986	2226
782	7997	2216
783	8014	2207
784	8028	2198
785	8039	2188
786	8048	2178
787	8059	2168
788	8068	2157
789	8080	2148
790	8091	2137
791	8100	2127
792	8112	2117
793	8122	2107
794	8134	2097
795	8143	2087
796	8153	2076
797	8162	2066
798	8172	2055
799	8183	2045
800	8193	2035
801	8204	2025
802	8235	2020
803	8263	2014
804	8281	2006
805	8308	1999
806	8319	1989
807	8331	1979
808	8341	1969
809	8354	1959
810	8363	1949
811	8373	1938
812	8382	1928
813	8391	1917
814	8402	1907
815	8414	1897
816	8429	1888
817	8439	1877
818	8448	1867
819	8458	1856
820	8469	1846
821	8480	1836
822	8489	1825
823	8498	1815
824	8511	1805
825	8523	1795
826	8537	1786
827	8548	1775
828	8557	1765
829	8565	1754
830	8573	1743
831	8581	1732
832	8590	1722
833	8598	1711
834	8607	1700
835	8618	1690
836	8627	1680
837	8634	1669
838	8644	1658
839	8655	1648
840	8664	1638
841	8671	1627
842	8679	1616
843	8686	1605
844	8694	1594
845	8702	1584
846	8710	1573
847	8719	1562
848	8727	1552
849	8735	1541
850	8743	1530
851	8753	1520
852	8760	1509
853	8769	1499
854	8777	1488
855	8784	1477
856	8794	1467
857	8808	1457
858	8824	1448
859	8836	1438
860	8846	1428
861	8858	1418
862	8871	1408
863	8880	1397
864	8893	1387
865	8907	1378
866	8915	1367
867	8922	1356
868	8932	1346
869	8943	1336
870	8953	1326
871	8961	1315
872	8968	1304
873	8976	1294
874	8984	1283
875	8996	1273
876	9006	1263
877	9013	1252
878	9020	1241
879	9028	1231
880	9035	1220
881	9043	1209
882	9054	1199
883	9066	1189
884	9074	1179
885	9082	1168
886	9093	1158
887	9103	1148
888	9118	1138
889	9128	1128
890	9136	1117
891	9146	1107
892	9158	1097
893	9166	1086
894	9176	1076
895	9184	1066
896	9192	1055
897	9201	1045
898	9211	1034
899	9221	1024
900	9233	1014
901	9245	1004
902	9257	994
903	9268	984
904	9277	973
905	9286	963
906	9295	953
907	9306	942
908	9314	932
909	9323	922
910	9331	911
911	9343	901
912	9353	891
913	9362	880
914	9371	870
915	9382	860
916	9392	850
917	9402	839
918	9412	829
919	9422	819
920	9431	809
921	9444	799
922	9454	788
923	9466	778
924	9480	768
925	9490	758
926	9499	748
927	9508	737
928	9519	727
929	9528	717
930	9539	707
931	9550	696
932	9560	686
933	9570	676
934	9579	665
935	9589	655
936	9601	645
937	9612	635
938	9621	625
939	9632	614
940	9644	604
941	9658	594
942	9672	584
943	9684	574
944	9696	564
945	9706	554
946	9716	543
947	9726	533
948	9737	523
949	9750	513
950	9769	503
951	9783	493
952	9795	483
953	9805	472
954	9814	462
955	9822	452
956	9829	441
957	9835	431
958	9843	420
959	9850	410
960	9859	400
961	9867	389
962	9875	379
963	9882	369
964	9892	358
965	9903	348
966	9915	338
967	9925	328
968	9936	317
969	9945	307
970	9955	297
971	9964	287
972	9973	276
973	9982	266
974	9992	256
975	10003	245
976	10012	235
977	10022	225
978	10030	215
979	10039	204
980	10048	194
981	10058	184
982	10066	174
983	10074	163
984	10083	153
985	10090	143
986	10101	133
987	10109	122
988	10116	112
989	10124	102
990	10131	92
991	10138	81
992	10146	71
993	10154	61
994	10161	51
995	10168	40
996	10174	30
997	10182	20
998	10188	10
999	10195	0
