iter	Logloss
0	0.6476486781
1	0.604290133
2	0.5667825858
3	0.5336091871
4	0.5114418491
5	0.4891586037
6	0.47005988
7	0.4528795982
8	0.4380528816
9	0.4260732127
10	0.4157788153
11	0.4058308341
12	0.3961531781
13	0.3881236242
14	0.3813779598
15	0.3765130373
16	0.3710522768
17	0.3664568996
18	0.3622297288
19	0.3585209028
20	0.355358455
21	0.3524364497
22	0.3491539158
23	0.3462835673
24	0.3437928116
25	0.3419729591
26	0.3399176806
27	0.3376264995
28	0.3360324108
29	0.3337923328
30	0.3319884468
31	0.3306894092
32	0.3291876513
33	0.3277269001
34	0.3266505452
35	0.3252296662
36	0.324048884
37	0.3226346687
38	0.3215035476
39	0.3207754683
40	0.3198115489
41	0.3187380703
42	0.3177022449
43	0.316984681
44	0.3162744257
45	0.3157307418
46	0.3152180642
47	0.3147235248
48	0.3138490438
49	0.3130633026
50	0.3125205816
51	0.3120656642
52	0.3116848807
53	0.3111343639
54	0.3104845784
55	0.3098323601
56	0.3090417137
57	0.3085068565
58	0.3079975017
59	0.3074496205
60	0.306955963
61	0.3066262919
62	0.3062600354
63	0.3059039679
64	0.3055322857
65	0.3051567583
66	0.3046933905
67	0.3043970828
68	0.3040610082
69	0.3037974194
70	0.3035394224
71	0.3031983235
72	0.302871053
73	0.302358725
74	0.3019512495
75	0.301665823
76	0.3012918336
77	0.3009067491
78	0.3005948805
79	0.3002772371
80	0.2999216412
81	0.2996756793
82	0.2993633219
83	0.299169832
84	0.2990027117
85	0.2985701427
86	0.2981874329
87	0.2978492738
88	0.2976362422
89	0.2974475598
90	0.2971586413
91	0.2969212883
92	0.2966397128
93	0.2964780735
94	0.2962654222
95	0.2960980326
96	0.2959080668
97	0.2955893088
98	0.2954289911
99	0.2951653028
100	0.2950168515
101	0.2948747043
102	0.2946939724
103	0.2944191896
104	0.2941187223
105	0.293892624
106	0.2937629648
107	0.2936266277
108	0.2934155221
109	0.293322158
110	0.293062012
111	0.2928410898
112	0.2927233664
113	0.2924208306
114	0.2922227515
115	0.2920648795
116	0.2919582766
117	0.2918211256
118	0.2917168604
119	0.2915008649
120	0.2913371272
121	0.2912493398
122	0.2909589038
123	0.2908102528
124	0.2906896973
125	0.2905210546
126	0.2904172612
127	0.2903059328
128	0.2901789571
129	0.2900211421
130	0.2898531318
131	0.289776644
132	0.289699063
133	0.2895795095
134	0.2894671838
135	0.2893664272
136	0.2889279808
137	0.288821993
138	0.2887237742
139	0.2886070714
140	0.2885084505
141	0.288366154
142	0.2883030669
143	0.2881335958
144	0.288026873
145	0.2879018268
146	0.2877241083
147	0.2875966535
148	0.2874673053
149	0.2872459957
150	0.2871376613
151	0.2870234606
152	0.2868966329
153	0.2868434305
154	0.2868084799
155	0.2867179994
156	0.2865321011
157	0.2864575852
158	0.2863695343
159	0.2862781817
160	0.2861738376
161	0.2859391325
162	0.2858641042
163	0.2857578598
164	0.2856456744
165	0.2855514126
166	0.2854864389
167	0.2853884605
168	0.2852025354
169	0.285128479
170	0.2850436159
171	0.2849555011
172	0.2848211233
173	0.2847199225
174	0.2846317038
175	0.2845758414
176	0.2845109787
177	0.2844623478
178	0.284401605
179	0.2843085011
180	0.2842267129
181	0.2841400862
182	0.2839493181
183	0.2838748455
184	0.2837700782
185	0.2836005042
186	0.2835035626
187	0.2831474981
188	0.2830743018
189	0.2830151665
190	0.2829556937
191	0.28289618
192	0.2828192259
193	0.2827572633
194	0.2826856638
195	0.2826133455
196	0.2825152865
197	0.2820704825
198	0.2817975921
199	0.2816927452
200	0.2816252298
201	0.2813359712
202	0.2811649443
203	0.2810725978
204	0.2809494426
205	0.2809082017
206	0.2807339951
207	0.2807013599
208	0.2806183331
209	0.280564711
210	0.280490197
211	0.2804250533
212	0.2803825571
213	0.2802467457
214	0.2801886495
215	0.2800962569
216	0.2800117925
217	0.2799647411
218	0.2798924338
219	0.2798215882
220	0.2797398264
221	0.2796613766
222	0.279565082
223	0.2795062234
224	0.2794259295
225	0.279353076
226	0.2792955165
227	0.2792423438
228	0.2791764066
229	0.2790485274
230	0.2786795613
231	0.278549837
232	0.2784879362
233	0.2783878618
234	0.2783245944
235	0.2779601635
236	0.2778880455
237	0.2778045006
238	0.2777357806
239	0.2775508286
240	0.2773442435
241	0.2772812494
242	0.2772559242
243	0.2771841197
244	0.2769265471
245	0.2768593482
246	0.2767775875
247	0.2764476121
248	0.2761014458
249	0.2758983479
250	0.2757457804
251	0.2756685052
252	0.2755596104
253	0.2754908401
254	0.2754401145
255	0.2752553668
256	0.2752312415
257	0.2750826763
258	0.2749906407
259	0.2749221291
260	0.2748169974
261	0.2747008621
262	0.2744932351
263	0.2744065941
264	0.2741306318
265	0.2740590956
266	0.2739611843
267	0.27369316
268	0.273608001
269	0.2734921673
270	0.2732434512
271	0.2730267946
272	0.2729604262
273	0.2729023614
274	0.2728532736
275	0.2727496684
276	0.2726354898
277	0.2725748965
278	0.2724273209
279	0.2723401898
280	0.272260835
281	0.2720889885
282	0.271903626
283	0.2718182986
284	0.2717808525
285	0.271685068
286	0.27160529
287	0.2715154327
288	0.271431562
289	0.271373262
290	0.2712122991
291	0.2711175455
292	0.2710600173
293	0.2710243911
294	0.2709571662
295	0.2708981921
296	0.2708192242
297	0.2707170561
298	0.2706492803
299	0.2706009771
300	0.2705550598
301	0.2704721461
302	0.2704000663
303	0.2703221701
304	0.2702520143
305	0.2701593386
306	0.2700783475
307	0.2699727941
308	0.2698781143
309	0.2698101415
310	0.2697621119
311	0.2696934651
312	0.2696381366
313	0.2695875379
314	0.2695433177
315	0.2694595931
316	0.2693894526
317	0.2693273373
318	0.2692383506
319	0.2691714773
320	0.2690840639
321	0.2690064919
322	0.2689508321
323	0.2689207334
324	0.2688508821
325	0.268794656
326	0.2687107558
327	0.2686715604
328	0.2685966905
329	0.2685159214
330	0.2684355032
331	0.268377889
332	0.2683223513
333	0.2682724238
334	0.2681723657
335	0.268124934
336	0.2680744363
337	0.2680112256
338	0.2679594133
339	0.2678823794
340	0.2677965278
341	0.2677322364
342	0.2676560763
343	0.2676152619
344	0.267536538
345	0.2675016409
346	0.2674346006
347	0.2673527468
348	0.2672628093
349	0.2672092243
350	0.2671341555
351	0.2670899303
352	0.2670439288
353	0.266984844
354	0.2668923566
355	0.2668407531
356	0.2667847613
357	0.2667051353
358	0.2666313307
359	0.2665779451
360	0.2665255283
361	0.2664543418
362	0.2664029374
363	0.2663640648
364	0.2663102687
365	0.2662713674
366	0.2662286344
367	0.2661628771
368	0.2661059206
369	0.2660453384
370	0.2659754268
371	0.2659326488
372	0.2658848927
373	0.2657688466
374	0.2656999643
375	0.2656346889
376	0.265572221
377	0.2655277026
378	0.2654559492
379	0.2654043014
380	0.2653487597
381	0.2652987941
382	0.2652702793
383	0.2652313648
384	0.2651246305
385	0.2650562734
386	0.2649881244
387	0.2649493527
388	0.2649335201
389	0.2648954631
390	0.2648501451
391	0.2648098903
392	0.2647574776
393	0.2647032831
394	0.2646169436
395	0.2645927737
396	0.2645546793
397	0.2644912094
398	0.2644433779
399	0.2643940616
400	0.2643787713
401	0.264327177
402	0.2642623634
403	0.2642103819
404	0.2641298429
405	0.2640959984
406	0.2640645289
407	0.2640194728
408	0.263948245
409	0.263921214
410	0.2638904739
411	0.263840427
412	0.263774858
413	0.2637211897
414	0.2636656442
415	0.2636251008
416	0.2635615027
417	0.2634903346
418	0.2634606044
419	0.2633918699
420	0.2633283815
421	0.2632841383
422	0.2632426277
423	0.2631852513
424	0.2631519162
425	0.2631095484
426	0.2630703521
427	0.2629933211
428	0.2629540092
429	0.2628711549
430	0.2628046421
431	0.262783093
432	0.2627562087
433	0.2627104671
434	0.2626608184
435	0.2626128098
436	0.2625378771
437	0.2625007643
438	0.2624414602
439	0.2623815717
440	0.2623026025
441	0.2622584769
442	0.2622097686
443	0.2621601945
444	0.2621289526
445	0.2620782584
446	0.2620171121
447	0.2619663499
448	0.2619056693
449	0.2618329716
450	0.2617830026
451	0.2617625004
452	0.2617087087
453	0.2616648802
454	0.2616035858
455	0.2615107163
456	0.2614700124
457	0.2614399645
458	0.2614150914
459	0.2612713362
460	0.2612399992
461	0.2611914284
462	0.2611223304
463	0.261075433
464	0.2610560545
465	0.2610145863
466	0.2609632454
467	0.2609445537
468	0.2608831615
469	0.2608551754
470	0.2608428111
471	0.2607954143
472	0.2607619476
473	0.2607170475
474	0.2606518726
475	0.2606210377
476	0.2605829043
477	0.2605393555
478	0.2605140808
479	0.2604551553
480	0.2604109583
481	0.2603492205
482	0.2603134721
483	0.2602620231
484	0.2602012845
485	0.2601669028
486	0.2601341115
487	0.260065111
488	0.2600242027
489	0.2599699611
490	0.2599150354
491	0.2598749359
492	0.259841732
493	0.259779688
494	0.2597565012
495	0.2597051596
496	0.259655268
497	0.2596328356
498	0.2595714213
499	0.2595112517
500	0.2594769285
501	0.2594178737
502	0.2593336876
503	0.2592853566
504	0.2592439252
505	0.2591921547
506	0.2591567223
507	0.2591239894
508	0.2590804348
509	0.259060594
510	0.2590175612
511	0.2589523335
512	0.258883079
513	0.2588479423
514	0.2588122337
515	0.2587789484
516	0.2587488513
517	0.2586874577
518	0.2586413847
519	0.258596113
520	0.2585736361
521	0.2585611733
522	0.2585177616
523	0.258482972
524	0.2584467867
525	0.2583826736
526	0.2583612364
527	0.2583515431
528	0.2583242784
529	0.2583045132
530	0.2582504829
531	0.2582269463
532	0.2581683465
533	0.2581354252
534	0.2580767623
535	0.2580495331
536	0.2580173181
537	0.2579755181
538	0.2579374366
539	0.2578768207
540	0.2578494731
541	0.2577892754
542	0.2577262222
543	0.257678516
544	0.2576500962
545	0.2576132024
546	0.2575828018
547	0.2575587132
548	0.2575222043
549	0.2574859962
550	0.2574663078
551	0.2574559229
552	0.2574105367
553	0.2573414014
554	0.2573039045
555	0.2572812417
556	0.2572530496
557	0.2571998968
558	0.2571803938
559	0.2571201786
560	0.2570808284
561	0.2570363219
562	0.2570065107
563	0.2569746479
564	0.2569590225
565	0.2569055769
566	0.2568649625
567	0.256833898
568	0.2567849976
569	0.2567354981
570	0.2567046169
571	0.2566502119
572	0.256623869
573	0.256543433
574	0.2565375609
575	0.2564941541
576	0.2564325805
577	0.2564145288
578	0.2563725232
579	0.2563491314
580	0.2563271365
581	0.256282946
582	0.2562358374
583	0.2561816546
584	0.2561302077
585	0.2561010177
586	0.2560826249
587	0.2560630415
588	0.2560099438
589	0.2559558778
590	0.2559145495
591	0.2559046181
592	0.255889327
593	0.2558660608
594	0.2558171689
595	0.2557787207
596	0.2557276677
597	0.2556891476
598	0.2556557131
599	0.2556287286
600	0.2555840175
601	0.2555261639
602	0.255491324
603	0.2554345285
604	0.2553909556
605	0.2553312668
606	0.2553032316
607	0.255257296
608	0.255227545
609	0.255183385
610	0.2551572309
611	0.2550950637
612	0.2550372305
613	0.2549535788
614	0.2549138858
615	0.2549022852
616	0.2548869527
617	0.2548450215
618	0.2548100255
619	0.2547546495
620	0.2547152798
621	0.2546764264
622	0.2546379048
623	0.2545683795
624	0.2545445332
625	0.2544991826
626	0.2544615295
627	0.2544188096
628	0.2543779626
629	0.2543494262
630	0.2543153968
631	0.2542899573
632	0.2542331607
633	0.2541919013
634	0.2541452833
635	0.2540947623
636	0.2540462483
637	0.2540111215
638	0.2539911035
639	0.2539822839
640	0.2539524854
641	0.2539267406
642	0.2539043189
643	0.2538591249
644	0.2538300838
645	0.253806966
646	0.2537925308
647	0.2537431623
648	0.253703552
649	0.2536840588
650	0.2536430187
651	0.253634877
652	0.2536075311
653	0.2535704902
654	0.2535387636
655	0.2534675962
656	0.2534326363
657	0.2533857225
658	0.2533593022
659	0.2533246583
660	0.2532726974
661	0.253209648
662	0.2531798879
663	0.2531231951
664	0.2530798144
665	0.2530490951
666	0.2530055947
667	0.2529652168
668	0.2529275698
669	0.2528897501
670	0.252850244
671	0.2527908289
672	0.2527841286
673	0.2527543688
674	0.2527176243
675	0.2527049924
676	0.2526743233
677	0.2526565871
678	0.2526066737
679	0.2525705332
680	0.2525352695
681	0.2524922679
682	0.2524325892
683	0.2524016012
684	0.2523708358
685	0.2523421317
686	0.2522883222
687	0.2522434574
688	0.2522134743
689	0.2521783989
690	0.2521692514
691	0.2521496433
692	0.2521190142
693	0.2520780947
694	0.2520445696
695	0.2519900208
696	0.2519472985
697	0.2519079694
698	0.2518524443
699	0.2518166258
700	0.2517869035
701	0.2517531636
702	0.2517122843
703	0.2516982351
704	0.2516407128
705	0.2516342529
706	0.2516155735
707	0.2515818203
708	0.2515529136
709	0.2514734804
710	0.2514507429
711	0.2513916019
712	0.2513510665
713	0.2513384336
714	0.2513122214
715	0.2512822063
716	0.2512459414
717	0.2512059605
718	0.2511748901
719	0.251145346
720	0.2511216035
721	0.2510739246
722	0.2510590074
723	0.2510246006
724	0.2509768762
725	0.2509578239
726	0.2509304462
727	0.2508968994
728	0.2508587522
729	0.2508406681
730	0.2508072255
731	0.2507606805
732	0.2507406535
733	0.250698355
734	0.2506828406
735	0.2506542418
736	0.2506154224
737	0.2505678872
738	0.2505310745
739	0.2504767066
740	0.2504391929
741	0.2503923705
742	0.2503411686
743	0.2503238967
744	0.2503040799
745	0.2503003332
746	0.2502657854
747	0.250234265
748	0.2502003065
749	0.2501911204
750	0.2501448712
751	0.2501187843
752	0.2500930262
753	0.2500673452
754	0.2500422201
755	0.2500037086
756	0.2499415063
757	0.2499212986
758	0.2498887675
759	0.2498233261
760	0.2498012554
761	0.249756072
762	0.2497259419
763	0.2496953658
764	0.2496814436
765	0.2496476028
766	0.24962496
767	0.2495529937
768	0.2495078684
769	0.2494718417
770	0.2494224405
771	0.2493967135
772	0.249378955
773	0.2493551972
774	0.2493352779
775	0.2492998798
776	0.2492684311
777	0.2492501108
778	0.2492243794
779	0.2491955595
780	0.2491643155
781	0.2491397099
782	0.2491187073
783	0.2491126057
784	0.2490726315
785	0.2490230194
786	0.2489788755
787	0.2489693467
788	0.2489399135
789	0.24892219
790	0.2488849853
791	0.2488407167
792	0.248826828
793	0.248782145
794	0.2487320672
795	0.2487074045
796	0.248673968
797	0.2486611303
798	0.2486252096
799	0.2485965047
800	0.2485486721
801	0.2485054933
802	0.2484673943
803	0.2484253727
804	0.2483966999
805	0.2483562833
806	0.2483274593
807	0.2482781383
808	0.248226525
809	0.2481940199
810	0.2481604003
811	0.248125278
812	0.2481020271
813	0.2480901339
814	0.2480724054
815	0.2480353865
816	0.2479777593
817	0.2479346127
818	0.2479190056
